rule_uid,modulo,id_original,titulo,arquivo
USR-RN-001,Usuários,RN-001,Usuário Individual,02-requisitos/levantamento/01-usuarios.md
USR-RN-002,Usuários,RN-002,Autenticação,02-requisitos/levantamento/01-usuarios.md
USR-RN-003,Usuários,RN-003,Histórico do Usuário,02-requisitos/levantamento/01-usuarios.md
USR-RN-004,Usuários,RN-004,Segurança das Senhas,02-requisitos/levantamento/01-usuarios.md
USR-RN-005,Usuários,RN-005,Isolamento dos Dados,02-requisitos/levantamento/01-usuarios.md
USR-RN-006,Usuários,RN-006,Cadastro Inicial,02-requisitos/levantamento/01-usuarios.md
USR-RN-007,Usuários,RN-007,Recuperação de Senha e PIN,02-requisitos/levantamento/01-usuarios.md
USR-RN-008,Usuários,RN-008,PIN,02-requisitos/levantamento/01-usuarios.md
USR-RN-009,Usuários,RN-009,Alteração de Senha e PIN,02-requisitos/levantamento/01-usuarios.md
CTA-RN-001,Contas,RN-001,,02-requisitos/levantamento/02-contas.md
CTA-RN-002,Contas,RN-002,,02-requisitos/levantamento/02-contas.md
CTA-RN-003,Contas,RN-003,,02-requisitos/levantamento/02-contas.md
CTA-RN-004,Contas,RN-004,,02-requisitos/levantamento/02-contas.md
CTA-RN-005,Contas,RN-005,,02-requisitos/levantamento/02-contas.md
CTA-RN-006,Contas,RN-006,,02-requisitos/levantamento/02-contas.md
CTA-RN-007,Contas,RN-007,,02-requisitos/levantamento/02-contas.md
CTA-RN-008,Contas,RN-008,,02-requisitos/levantamento/02-contas.md
CTA-RN-009,Contas,RN-009,,02-requisitos/levantamento/02-contas.md
CTA-RN-010,Contas,RN-010,,02-requisitos/levantamento/02-contas.md
CMP-RN-001,Compromissos Financeiros,RN-001,,02-requisitos/levantamento/03-compromissos.md
CMP-RN-002,Compromissos Financeiros,RN-002,,02-requisitos/levantamento/03-compromissos.md
CMP-RN-003,Compromissos Financeiros,RN-003,,02-requisitos/levantamento/03-compromissos.md
CMP-RN-004,Compromissos Financeiros,RN-004,,02-requisitos/levantamento/03-compromissos.md
CMP-RN-005,Compromissos Financeiros,RN-005,,02-requisitos/levantamento/03-compromissos.md
CMP-RN-006,Compromissos Financeiros,RN-006,,02-requisitos/levantamento/03-compromissos.md
CMP-RN-007,Compromissos Financeiros,RN-007,,02-requisitos/levantamento/03-compromissos.md
CMP-RN-008,Compromissos Financeiros,RN-008,,02-requisitos/levantamento/03-compromissos.md
CMP-RN-009,Compromissos Financeiros,RN-009,,02-requisitos/levantamento/03-compromissos.md
CMP-RN-010,Compromissos Financeiros,RN-010,,02-requisitos/levantamento/03-compromissos.md
CAT-RN-001,Categorias,RN-001,,02-requisitos/levantamento/04-categorias.md
CAT-RN-002,Categorias,RN-002,,02-requisitos/levantamento/04-categorias.md
CAT-RN-003,Categorias,RN-003,,02-requisitos/levantamento/04-categorias.md
CAT-RN-004,Categorias,RN-004,,02-requisitos/levantamento/04-categorias.md
CAT-RN-005,Categorias,RN-005,,02-requisitos/levantamento/04-categorias.md
CAT-RN-006,Categorias,RN-006,,02-requisitos/levantamento/04-categorias.md
CAT-RN-007,Categorias,RN-007,,02-requisitos/levantamento/04-categorias.md
CAT-RN-008,Categorias,RN-008,,02-requisitos/levantamento/04-categorias.md
CAT-RN-009,Categorias,RN-009,,02-requisitos/levantamento/04-categorias.md
REC-RN-001,Recorrência,RN-001,,02-requisitos/levantamento/05-recorrencias.md
REC-RN-002,Recorrência,RN-002,,02-requisitos/levantamento/05-recorrencias.md
REC-RN-003,Recorrência,RN-003,,02-requisitos/levantamento/05-recorrencias.md
REC-RN-004,Recorrência,RN-004,,02-requisitos/levantamento/05-recorrencias.md
REC-RN-005,Recorrência,RN-005,,02-requisitos/levantamento/05-recorrencias.md
REC-RN-006,Recorrência,RN-006,,02-requisitos/levantamento/05-recorrencias.md
REC-RN-007,Recorrência,RN-007,,02-requisitos/levantamento/05-recorrencias.md
