id,titulo,arquivo,status
RF01,Gerenciar contas financeiras,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF02,Gerenciar o saldo das contas,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF03,Gerenciar o saldo inicial da conta principal,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF04,Gerenciar compromissos financeiros,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF05,Gerenciar a efetivação de compromissos financeiros,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF06,Gerenciar compromissos recorrentes,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF07,Gerenciar categorias financeiras,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF08,Registrar lançamentos financeiros,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF09,Atualizar os saldos a partir dos lançamentos,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF10,Gerenciar transferências entre contas,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF11,Registrar os efeitos das transferências,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF12,Gerenciar transferências recorrentes,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF13,Gerenciar compromissos de cartão de crédito,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF14,Gerenciar compromissos parcelados,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF15,Consultar o Dashboard financeiro,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF16,Navegar entre períodos financeiros,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF17,Gerenciar proteção por PIN,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF18,Gerenciar o tema da aplicação,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RF19,Gerenciar cópias de segurança,02-requisitos/srs/03-requisitos-funcionais.md,vigente
RNF01,Segurança,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF02,Proteção das Credenciais,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF03,Isolamento dos Dados dos Usuários,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF04,Proteção dos Dados,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF05,Integridade dos Dados Financeiros,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF06,Consistência das Operações,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF07,Preservação do Histórico Financeiro,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF08,Confiabilidade dos Cálculos Financeiros,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF09,Integridade dos Valores Monetários,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF10,Desempenho,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF11,Disponibilidade,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF12,Usabilidade,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF13,Responsividade,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF14,Compatibilidade,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF15,Manutenibilidade,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF16,Escalabilidade,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF17,Recuperação de Dados,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF18,Proteção das Cópias de Segurança,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF19,Privacidade,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF20,Evolutividade,02-requisitos/srs/04-requisitos-nao-funcionais.md,vigente
