arquivo_original,extensao,bytes,sha256
Sistema de Gestão Financeiro Pessoal/Documento de Visão 1 0 3b50c1676cbc8010bea6d0fe0066a253.md,.md,7260,6c34f3f9f139d31197facfbf0b22ae85b229880b2d8684efec7ad64add9f1267
Sistema de Gestão Financeiro Pessoal/Etapas do Projeto — S G F P/Documento de Visão 2e491e84998e456085cac0ea9ad27bb5.md,.md,9415,8d68df232b99ed251e867e2208b5e4c0a6226b1af627742cab039669be3aecdc
Sistema de Gestão Financeiro Pessoal/Etapas do Projeto — S G F P/Etapa 10 — Desenvolvimento da API 5692b92f441948bb8a334be18a347a8f.md,.md,190,8887954421252afc708638c1707a47209389223a2aaa53f1bc8bd8bbb2500027
Sistema de Gestão Financeiro Pessoal/Etapas do Projeto — S G F P/Etapa 11 — Desenvolvimento da Interface Web c2b81d32c3474bb7b580211a463966c6.md,.md,223,bda17f8c91453353adbd7e72dbe66ba6add674107ff2dba2a62caa89a69706c7
Sistema de Gestão Financeiro Pessoal/Etapas do Projeto — S G F P/Etapa 12 — Testes 0510aad5d43040818407713a586cb383.md,.md,205,ceae11d563983331605c2a20f1002a930cbf8750ea577fcee69a39f8c87a2a5b
Sistema de Gestão Financeiro Pessoal/Etapas do Projeto — S G F P/Etapa 2 — Levantamento de Requisitos 6f52c65eaee444d8b7f55772f6e6c2a9.md,.md,717,c906e866dd7b287d7956c5d2f2a20babde76eb656dfc0469f47dab2367e4b46d
Sistema de Gestão Financeiro Pessoal/Etapas do Projeto — S G F P/Etapa 3 — Especificação de Requisitos (SRS) e410d64300ee4bf4aedd764880b7d3ef.md,.md,6278,420672390117a328d23499ee33d287921bad4a19e48347a1c2d5f6e348a687c8
Sistema de Gestão Financeiro Pessoal/Etapas do Projeto — S G F P/Etapa 4 — Casos de Uso 0ffd0cea366845409d6395b670ae2bcf.md,.md,606,cc3c7a063a4f3704578ba7dbee71843777e94f104b8d78d6271352f61325ec2a
Sistema de Gestão Financeiro Pessoal/Etapas do Projeto — S G F P/Etapa 5 — Mapa do Domínio e36380e4bc5345bc9e289e16a722a35a.md,.md,284,4d4c30d7a6b55bee2814537be4952ae15dc9487eaeeebe019d18015f3f23d1de
Sistema de Gestão Financeiro Pessoal/Etapas do Projeto — S G F P/Etapa 6 — Modelagem Conceitual (MER) 1120ce2383b448e08e3522964e3f8dad.md,.md,243,fc5bd634638727dc381441279c6f18057cb504503789d861ec70d5a6a0a983d2
