rule_uid,modulo,id_original,requisitos_relacionados,status_rastreabilidade,observacao
USR-RN-001,Usuários,RN-001,RNF-003,mapped_v1,
USR-RN-002,Usuários,RN-002,"RF-002, RNF-001",mapped_v1,
USR-RN-003,Usuários,RN-003,"RF-002, RF-011",mapped_v1,
USR-RN-004,Usuários,RN-004,RNF-002,mapped_v1,
USR-RN-005,Usuários,RN-005,"RNF-003, RNF-004",mapped_v1,
USR-RN-006,Usuários,RN-006,"RF-001, RF-009",mapped_v1,
USR-RN-007,Usuários,RN-007,RF-003,mapped_v1,
USR-RN-008,Usuários,RN-008,RF-019,mapped_future,RF-019 preservado para versão futura.
USR-RN-009,Usuários,RN-009,RF-003,mapped_v1,
CTA-RN-001,Contas,RN-001,RF-004,mapped_v1,
CTA-RN-002,Contas,RN-002,RF-005,mapped_v1,
CTA-RN-003,Contas,RN-003,RF-004,mapped_v1,
CTA-RN-004,Contas,RN-004,"RF-010, RF-012",mapped_v1,
CTA-RN-005,Contas,RN-005,"RF-005, RF-010, RF-012",mapped_v1,
CTA-RN-006,Contas,RN-006,RF-005,mapped_v1,
CTA-RN-007,Contas,RN-007,RF-004,mapped_v1,
CTA-RN-008,Contas,RN-008,RF-004,mapped_v1,
CTA-RN-009,Contas,RN-009,"RF-004, RNF-007",mapped_v1,
CTA-RN-010,Contas,RN-010,RF-004,mapped_v1,
CMP-RN-001,Compromissos Financeiros,RN-001,RF-006,mapped_v1,
CMP-RN-002,Compromissos Financeiros,RN-002,RF-006,mapped_v1,
CMP-RN-003,Compromissos Financeiros,RN-003,RF-006,mapped_v1,
CMP-RN-004,Compromissos Financeiros,RN-004,RF-006,mapped_v1,
CMP-RN-005,Compromissos Financeiros,RN-005,"RF-004, RF-006, RF-012",mapped_v1,
CMP-RN-006,Compromissos Financeiros,RN-006,"RF-006, RF-008",mapped_v1,
CMP-RN-007,Compromissos Financeiros,RN-007,"RF-006, RF-007",mapped_v1,
CMP-RN-008,Compromissos Financeiros,RN-008,"RF-006, RF-008",mapped_v1,
CMP-RN-009,Compromissos Financeiros,RN-009,"RF-006, RF-007",mapped_v1,
CMP-RN-010,Compromissos Financeiros,RN-010,RF-006,mapped_v1,
CAT-RN-001,Categorias,RN-001,"RF-009, RNF-003",mapped_v1,
CAT-RN-002,Categorias,RN-002,"RF-006, RF-009",mapped_v1,
CAT-RN-003,Categorias,RN-003,"RF-006, RF-009",mapped_v1,
CAT-RN-004,Categorias,RN-004,RF-009,mapped_v1,
CAT-RN-005,Categorias,RN-005,RF-009,mapped_v1,
CAT-RN-006,Categorias,RN-006,"RF-009, RF-017",mapped_v1,
CAT-RN-007,Categorias,RN-007,"RF-006, RF-009",mapped_v1,
CAT-RN-008,Categorias,RN-008,"RF-006, RF-009",mapped_v1,
CAT-RN-009,Categorias,RN-009,"RF-006, RF-009",mapped_v1,
REC-RN-001,Recorrência,RN-001,RF-008,mapped_v1,
REC-RN-002,Recorrência,RN-002,RF-008,mapped_v1,
REC-RN-003,Recorrência,RN-003,RF-008,mapped_v1,
REC-RN-004,Recorrência,RN-004,RF-008,mapped_v1,
REC-RN-005,Recorrência,RN-005,RF-008,mapped_v1,
REC-RN-006,Recorrência,RN-006,"RF-008, RF-017, RF-018",mapped_v1,
REC-RN-007,Recorrência,RN-007,RF-008,mapped_v1,
REC-RN-008,Recorrência,RN-008,"RF-008, RF-018, RNF-007",mapped_v1,
REC-RN-009,Recorrência,RN-009,RF-008,mapped_v1,
