id,titulo,arquivo,status
RF-001,Cadastrar usuário,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-002,Autenticar usuário,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-003,Gerenciar senha,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-004,Gerenciar Conta Financeira única,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-005,Consultar saldo da conta,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-006,Gerenciar compromissos financeiros,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-007,Efetivar e desfazer compromissos financeiros,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-008,Gerenciar compromissos recorrentes,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-009,Gerenciar categorias financeiras,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-010,Registrar lançamentos financeiros,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-011,Consultar movimentações financeiras,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-012,Gerenciar transferências entre contas,docs/requisitos/srs/03-requisitos-funcionais.md,deferred_future
RF-013,Efetivar e desfazer transferências,docs/requisitos/srs/03-requisitos-funcionais.md,deferred_future
RF-014,Gerenciar transferências recorrentes,docs/requisitos/srs/03-requisitos-funcionais.md,deferred_future
RF-015,Gerenciar compromissos de cartão de crédito,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-016,Gerenciar compromissos parcelados,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-017,Consultar o Dashboard financeiro,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-018,Navegar entre períodos financeiros,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-019,Gerenciar proteção por PIN,docs/requisitos/srs/03-requisitos-funcionais.md,deferred_future
RF-020,Gerenciar tema da aplicação,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-021,Gerenciar cópias de segurança e restauração,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-022,Resetar perfil financeiro,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RF-023,Excluir conta de acesso,docs/requisitos/srs/03-requisitos-funcionais.md,baseline_v1
RNF-001,Segurança,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-002,Proteção das Credenciais,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-003,Isolamento dos Dados dos Usuários,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-004,Proteção dos Dados,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-005,Integridade dos Dados Financeiros,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-006,Consistência das Operações,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-007,Preservação do Histórico Financeiro,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-008,Confiabilidade dos Cálculos Financeiros,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-009,Integridade dos Valores Monetários,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-010,Desempenho,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-011,Disponibilidade,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-012,Usabilidade,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-013,Responsividade,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-014,Compatibilidade,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-015,Manutenibilidade,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-016,Escalabilidade,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-017,Recuperação de Dados,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-018,Proteção das Cópias de Segurança,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-019,Privacidade,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
RNF-020,Evolutividade,docs/requisitos/srs/04-requisitos-nao-funcionais.md,vigente
